날짜,시도지역,일수,발생건수(건),일평균 발생건수(건),평균기온(°C),평균최고기온(°C),평균최저기온(°C),평균일교차(°C),평균상대습도(%),월합강수량(00~24h만)(mm),SO2(ppm),NO2(ppm),CO(ppm),PM-10(ug/m3),월별 인구수,0~14세,65세 이상,취약계층,취약계층비율,
201401,서울,31,186096,6003,-0.7,3.5,-4.9,8.4,50,13,0.007,0.042,0.7,57,10143164,1286747,1167971,2454718,0.242007129,
201402,서울,28,203884,7282,1.9,6.6,-1.8,8.4,52,16.2,0.006,0.039,0.6,57,10144173,1282865,1173044,2455909,0.242100465,
201403,서울,31,187153,6037,7.9,13.1,3.5,9.6,60,7.2,0.007,0.037,0.5,60,10141727,1278461,1178004,2456465,0.242213678,
201404,서울,30,210748,7025,14,19.6,9.4,10.2,60,31,0.006,0.04,0.5,58,10137313,1274956,1181329,2456285,0.242301387,
201405,서울,31,180015,5807,18.9,25.3,13.8,11.5,59,63,0.006,0.032,0.5,63,10133734,1271744,1185221,2456965,0.242454065,
201406,서울,30,133359,4445,23.1,27.8,19.7,8.1,73,98.1,0.005,0.026,0.4,38,10129223,1268782,1188361,2457143,0.242579613,
201407,서울,31,130177,4199,26.1,30.6,22.9,7.7,74,207.9,0.005,0.023,0.4,38,10125912,1266226,1194587,2460813,0.243021369,
201408,서울,31,119291,3848,25.2,29,22.1,6.9,77,172.8,0.004,0.024,0.4,29,10124243,1263020,1200034,2463054,0.243282782,
201409,서울,30,157470,5249,22.1,27,18,9,69,88.1,0.004,0.03,0.4,29,10122661,1260748,1204968,2465716,0.243583777,
201410,서울,31,179194,5780,15.6,21.4,10.7,10.7,63,52.2,0.005,0.035,0.5,33,10117909,1258035,1208987,2467022,0.243827257,
201411,서울,30,199284,6643,9,13.8,4.9,8.9,61,41.5,0.006,0.039,0.6,45,10112156,1254123,1212577,2466700,0.243934132,
201412,서울,31,198113,6391,-2.9,1.5,-6.7,8.2,56,17.9,0.006,0.034,0.7,44,10103233,1250859,1216529,2467388,0.244217668,
201501,서울,31,169312,5462,-0.9,3.6,-4.8,8.4,56,11.3,0.007,0.037,0.7,49,10104515,1245584,1223221,2468805,0.244326917,
201502,서울,28,158973,5678,1,6,-2.9,8.9,59,22.7,0.007,0.036,0.7,84,10105206,1240607,1228647,2469254,0.244354643,
201503,서울,31,176136,5682,6.3,12.4,1,11.4,45,9.6,0.007,0.04,0.6,71,10100987,1235485,1233528,2469013,0.244432846,
201504,서울,30,181459,6049,13.3,18.8,8.4,10.4,55,80.5,0.005,0.033,0.5,45,10094889,1232194,1237181,2469375,0.24461636,
201505,서울,31,159484,5145,18.9,24.9,13.6,11.3,53,28.9,0.006,0.032,0.4,45,10088393,1228614,1241410,2470024,0.244838202,
201506,서울,30,112073,3736,23.6,29.5,18.9,10.6,60,99,0.005,0.025,0.4,35,10078850,1225974,1243829,2469803,0.245048096,
201507,서울,31,95429,3078,25.8,30,22.6,7.4,71,226,0.005,0.021,0.4,30,10071654,1222998,1247714,2470712,0.245313431,
201508,서울,31,108732,3507,26.3,30.8,22.8,8,70,72.9,0.005,0.023,0.4,34,10063197,1218400,1250634,2469034,0.245352844,
201509,서울,30,143773,4792,22.4,28.1,17.5,10.6,56,26,0.004,0.027,0.4,28,10055027,1214056,1253588,2467644,0.245413961,
201510,서울,31,157783,5090,15.5,21.2,10.8,10.4,61,81.5,0.005,0.035,0.5,44,10045027,1209926,1256754,2466680,0.245562307,
201511,서울,30,166570,5552,8.9,12.7,5.9,6.8,74,104.6,0.005,0.034,0.6,33,10035597,1205098,1259607,2464705,0.245596251,
